id,product_name,origin text,price
651,PINK DROP 30ml & PINK PAD 60sheets,배송 빠르고 일상에서 루틴 앰플로 쓰기에 좋아요 성분이 좋아서 그런지 민감성 피부에도 괜찮네요:),"67,000원 "
652,PINK DROP 30ml & PINK PAD 60sheets,너무 크지 않아서 외출할때도 가지고 다니고 향기도 좋아요. 일단 흡수력과 지속력도 너무 좋아서 지인 추천해줬어요. 재구매률 100프로에요.,"67,000원 "
653,YELLOW INSPIRATION  PEEL DROP  30ml,잘 스며들고 향도 좋네요. 가족들도 같이 사용하는데 만족도 100%에요.,"35,000원 "
654,YELLOW INSPIRATION  PEEL DROP  30ml,향도 좋고 피부에 쏙 스며들어 너무 촉촉하고 좋네요. 선물용으로도 너무 좋을 것 같아요.,"35,000원 "
655,PINK DROP 30ml & PINK PAD 60sheets,각질이 많아지는 계절이라 매일 발라주고있어요 각질이많아지면 화장이 잘 안먹는다고 하더라구요 그래서 주1회 각질제거와 매일 데일리케어로 먼데이뮤지엄앰플 써주고있습니다,"67,000원 "
656,PINK DROP 30ml & PINK PAD 60sheets,믿고 구매했습니다 구성도 마음에 들었고 배송도 빠르고 안전하게 잘도착했어요 피부가 예민한편인데 순해서 그런지 제피부에 너무 잘맞더라구요 이거 바르고 화장하면 화장이 넘 잘먹어요 이제 피부화장할때 필수템이 됐습니다 ㅎㅎ,"67,000원 "
657,PINK DROP 30ml & PINK PAD 60sheets,브러쉬가 다했네요 피부깊숙히 꼼꼼하고 가볍게 연출됩니다 피부톤이 회사하고 자연스러위서 좋아요,"67,000원 "
658,PINK DROP 30ml & PINK PAD 60sheets,피부가 거칠어져서 화장이 자꾸 뜨길래 이것저것 찾다가 이 제품 추천 받고 사용해봤어요. 지금 사용한지 4일정도 됐는데 결이 매끄러워진 느낌이예요. 화장도 잘 받는 것 같아서 완전 열심히 바르고 있어요^^,"67,000원 "
659,PINK DROP 30ml & PINK PAD 60sheets,처음 사용해보는 제품이예요. 테스트를 하기 위해 손등에 살짝 발라 가볍게 펼쳐 바르니 촉촉하게 잘 스며들고 끈적이없어 좋아 바로 얼굴에 사용해보았어요. 꾸준하게 사용하다보니 피부가 촉촉해지는것을 확인할 수 있어 행복해요. 좋은 제품 감사합니다. ,"67,000원 "
660,PINK DROP 30ml & PINK PAD 60sheets,,"67,000원 "
661,yellow drop / pink drop / pink pad / red pad (택1),예민 피부인데 각질부자라 안 써본 필링제품이 없는데요. 저저 드디어 필링앰플 정착했어요!!!! 자극없이 순한데 자기 전 바르고 난 다음날이면 화장이 그렇게나 잘 먹을 수 없다며~~ 이게 다 필링앰플 바뀐 덕분이라 생각됩니다. 진짜 예민 피부이신분들께 꼭 강츄해요!!,"25,000원 "
662,PINK DROP 30ml & PINK PAD 60sheets,구성품이 탄탄해서 기분좋게 구매했는데 사용해보니 효과는 더 좋아서 놀랐어요 진짜 사길 잘한거같아요! ,"67,000원 "
663,PINK DROP 30ml & PINK PAD 60sheets,구성품이 탄탄해서 기분좋게 구매했는데 사용해보니 효과는 더 좋아서 놀랐어요 진짜 사길 잘한거같아요!,"67,000원 "
664,YELLOW INSPIRATION  PEEL DROP  30ml,자주 쓰는 필링제보다 매일 쓰면서 순하고 자극적이지 않게 필링이 된다는게 신기한 제품이구요 같이 온 카드는 제품 사용순서지 인줄 알았는데 샘플이 하나씩 들어있어 더좋네요 여름 지나고 칙칙해진 피부톤이 고민될때! 색상도 맛있는 유자 크림색에 가깝네요 향은 거의 무향에 가깝고 피부가 예민하신분들이 사용하기도 좋아요 촉촉하고 매끄럽게 정리해줘서 좋네요,"35,000원 "
665,PINK DROP 30ml & PINK PAD 60sheets,타고난 건성 피부인데 나이가 들수록 피부가 더 건조해지는 것같아요. 보습에 나름 신경을 쓰는데도 입주변과 코모공사이에 각질이 많이 생겨 지저분해보이는데요. 일주일 정도 사용했는데 진짜 자연스럽게 입주변 각질이 어느날 부터 잘 안보여 너무 신기해요!!! 이제 마스크도 벗고 다니는데 각질이 고민이신분들.. 한번 사용해보세요. 촉촉한 발림성도 좋고 자연스럽게 매끈해진 피부까지 완전 대박 !!!,"67,000원 "
666,PINK DROP 30ml & PINK PAD 60sheets, 일단 저는 엄청 수부지 피부라서 아무거나 썼다간 각질과 유분이 같이 올라오는 피부인데 이 제품을 썼을 땐 속 수분은 꽉 잡아 주고 유분기는 또 많이 올라오지 않아 너무 좋았던 거 같아요 ㅜ 그리고 피부가 뒤집어진 날에는 토너 팩을 해 주곤 했는데 다음 날 화장 정말 잘 먹습니당… 앰플도 많이 들어있고 해서 진짜 너무너무 만족이요! ,"67,000원 "
667,PINK DROP 30ml & PINK PAD 60sheets,"와우..일주일정도 사용했어요 
피부 속건조가 심해서 메이크업베이스 바르면
자꾸 각질처럼 일어낫는데 요 크림앰플 사용하고부터 각질이 사라졌어요!! 또 너무 유분기 잇는건 기름이 올라와서 트러블 나기도 하는데 유수분 밸런스가 잘 맞는거 같아요! 아주아주 효자템 발견했네요:)","67,000원 "
668,yellow drop / pink drop / pink pad / red pad (택1),"오픈하자마자 풍기는 시트러스향이 상큼하니 아주 기분 좋네요~
보기에 얇아보여서 수분을 패드가 잘 머금고 있을까? 의심했는데 완전 수분폭발이네요~
패드 완전 신기! 그리고 피부에 닿자마자 다른 패드들보다 더 시원합니다~
가을 자외선 굉장히 뜨거워서 진정시키는데 와따!
그리고 피부 피지짜거나 못살게 굴고나서 얹혀줘도 모공 확! 줄어들거깉아요~ 촉촉함도 오래가고 완전 맘에듭니다~","25,000원 "
669,yellow drop / pink drop / pink pad / red pad (택1),토너를 발라도 얼굴에 수분감이 부족하다고 느껴서 구매하게 되었어요 저자극이라 그런지 자극이 없이 잘 발립니다 제형은 물같지만 흡수가 빨라서 편하게 바를수 있습니다,"25,000원 "
670,yellow drop / pink drop / pink pad / red pad (택1),"옐로 인스퍼레이션 필 드롭 친구한테 추천받아 구매했어요,, 토너 후 바르면 되는데 제형은 부드럽게 묽어서 스포이드로 떨어뜨려 톡톡톡 해주면 바로 스며들어요 피부가 얇은 편이어서 필링,각질제거를 제대로 하지 못하는데..이 필림앰플은 저자극제품이어서인지 매일 사용하여도 피부에 부담이 없네요,, 며칠 사용만으로도 촉촉하면서도 실키한 피부결이 느껴져요!! 팩키지도 깔끔하고 향도 강하지 않아 가지고 있는 다른 제품과도 충돌이 없어요 비건제품이라 더욱 신뢰가고 ,, 유자씨드와 비타민C를 함유되어서 건강한 피부로 만들어준다니 꾸준히 사용해봐야겠어요~ ~","25,000원 "
